eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
1.0,0,1,-1,60.0,0.8419461663713553,10,0.9184254239572998
1.0,0,1,-1,70.0,1.0346887465320553,2,0.9030889393061299
1.0,0,1,-1,70.0,1.0362759574395093,10,0.9522462554361514
1.0,0,1,-1,75.0,1.1475329447035556,2,0.918691690902348
1.0,0,1,-1,75.0,1.1505780196312625,2,0.909499021859868
1.0,0,1,-1,75.0,1.149845358901293,10,0.9656331445965887
1.0,0,1,-1,80.0,1.2781066638719012,2,0.9321671720473418
1.0,0,1,-1,80.0,1.281838069905198,2,0.9271759503407262
1.0,0,1,-1,80.0,1.281922116231316,5,0.9194253724846373
1.0,0,1,-1,80.0,1.2804730474671409,10,0.9759686684653801
1.0,0,1,-1,82.13,1.3407872929798619,2,0.9382965039775624
1.0,0,1,-1,82.13,1.3445189419938077,2,0.9354005288255778
1.0,0,1,-1,82.13,1.3450339368320523,5,0.9288203258425606
1.0,0,1,-1,82.13,1.3436485615559473,10,0.98045024422245
1.0,0,1,-1,85.0,1.4355763883951125,2,0.9477103576256114
1.0,0,1,-1,85.0,1.438860459280264,2,0.9454353698439396
1.0,0,1,-1,85.0,1.4390637871631766,5,0.941440496746704
1.0,0,1,-1,85.0,1.439173479466831,10,0.9866205558706973
1.0,0,1,-1,90.0,1.6399461884509634,2,0.9661258569344403
1.0,0,1,-1,90.0,1.643949391823675,2,0.9620426676067451
1.0,0,1,-1,90.0,1.6450235480445845,5,0.9642736197594868
1.0,0,1,-1,90.0,1.6442685392928138,10,0.9949009247235482
1.0,0,1,-1,95.0,1.9503358093132461,2,0.9850426332779595
1.0,0,1,-1,95.0,1.9574987383218225,2,0.9787105327271753
1.0,0,1,-1,95.0,1.9569280817959815,5,0.9805916325378108
1.0,0,1,-1,95.0,1.9576732505602308,10,0.9995635903483849
1.0,0,1,-1,99.0,2.550138518498888,2,0.995592076821812
1.0,0,1,-1,99.0,2.5645083207714174,2,0.9961497994569555
1.0,0,1,-1,99.0,2.559502259846301,5,0.9911147891955094
1.0,0,1,-1,99.0,2.5632488728641776,10,0.9990599093253575
1.0,0,1,-1,99.73,2.9384112560511246,2,0.9990331657771299
1.0,0,1,-1,99.73,2.9527055323316196,2,0.9985436687158786
1.0,0,1,-1,99.73,2.947800610966103,5,0.9957124791675932
1.0,0,1,-1,99.73,2.9550559783823362,10,0.9995373666823287
2.0,0,1,-1,35.0,0.6560766898357551,2,0.905638832253987
2.0,0,1,-1,40.0,0.7144105061538009,2,0.9165567100740967
2.0,0,1,-1,45.0,0.772938620175121,2,0.926451144778975
2.0,0,1,-1,50.0,0.8318414834681516,2,0.936180733528156
2.0,0,1,-1,50.0,0.8326072095864884,20,0.9016619884931906
2.0,0,1,-1,60.0,0.9567481467602346,2,0.9523041152177241
2.0,0,1,-1,60.0,0.956837453961146,20,0.9217499122693307
2.0,0,1,-1,70.0,1.0972282019631066,2,0.9662965662660676
2.0,0,1,-1,70.0,1.09655982829407,20,0.9437806363143855
2.0,0,1,-1,75.0,1.1773769748519305,2,0.9745542705426582
2.0,0,1,-1,75.0,1.1762580433144845,20,0.9550238163349682
2.0,0,1,-1,80.0,1.2693500074475554,2,0.9809068657077177
2.0,0,1,-1,80.0,1.267234167631388,20,0.9646635594999614
2.0,0,1,-1,82.13,1.3133270128891703,2,0.9831210556048979
2.0,0,1,-1,82.13,1.3104709359308808,20,0.9684818573144918
2.0,0,1,-1,85.0,1.3780791744055807,2,0.9861535198964864
2.0,0,1,-1,85.0,1.3758488719474087,20,0.9738415968760675
2.0,0,1,-1,90.0,1.5169923492611264,2,0.9905313138246153
2.0,0,1,-1,90.0,1.5146497990755647,20,0.98261207879265
2.0,0,1,-1,95.0,1.7292175478627136,2,0.9940451692664913
2.0,0,1,-1,95.0,1.7278455125057355,20,0.9903318547495721
2.0,0,1,-1,99.0,2.1320475088261204,2,0.9981769080799274
2.0,0,1,-1,99.0,2.1324935657340447,20,0.9987580798303813
2.0,0,1,-1,99.73,2.3863527138385403,2,0.999370927833563
2.0,0,1,-1,99.73,2.395971761111955,20,1.0000005042498423
2.5,0,1,-1,25.0,0.6518916929284441,5,0.9024648668714785
2.5,0,1,-1,30.0,0.6980782223503337,5,0.9088588011267966
2.5,0,1,-1,35.0,0.742812811551183,5,0.9156612324225948
2.5,0,1,-1,40.0,0.7870817064980468,5,0.9230757974719788
2.5,0,1,-1,45.0,0.8318892188949321,5,0.9307671940465052
2.5,0,1,-1,50.0,0.8776628231216808,5,0.9383903292570384
2.5,0,1,-1,60.0,0.9760386813253943,5,0.952680256573327
2.5,0,1,-1,70.0,1.0883553881286787,5,0.966519438809424
2.5,0,1,-1,75.0,1.152886780910611,5,0.9729673256790947
2.5,0,1,-1,80.0,1.2279539150491263,5,0.9793326867611333
2.5,0,1,-1,82.13,1.2639710155532045,5,0.9820358907268292
2.5,0,1,-1,85.0,1.3184718018519845,5,0.9851572249398928
2.5,0,1,-1,90.0,1.434906368773036,5,0.9903773309360796
2.5,0,1,-1,95.0,1.6161195409062075,5,0.996136524729741
2.5,0,1,-1,99.0,1.9688860525411347,5,0.9998956333822223
2.5,0,1,-1,99.73,2.2004193983130635,5,0.9997294243025394
5.0,0,1,-1,5.0,0.4803401469339197,5,0.9074735277868051
5.0,0,1,-1,5.0,0.4797898679408063,10,0.9116872608228856
5.0,0,1,-1,5.0,0.48013545821764864,50,0.9235179406830685
5.0,0,1,-1,10.0,0.568523334738528,5,0.9139108637609409
5.0,0,1,-1,10.0,0.5682569465408276,10,0.9193191107119247
5.0,0,1,-1,10.0,0.5675577290771892,50,0.9305399727162523
5.0,0,1,-1,15.0,0.632239608067473,5,0.9201979548991039
5.0,0,1,-1,15.0,0.6320395034649622,10,0.9253616005536592
5.0,0,1,-1,15.0,0.6316596579235283,50,0.9358532525905779
5.0,0,1,-1,20.0,0.6847488324805759,5,0.9271576552640202
5.0,0,1,-1,20.0,0.6847911290947319,10,0.931113725013007
5.0,0,1,-1,20.0,0.6850319780701073,50,0.940626570040401
5.0,0,1,-1,25.0,0.7313275616013325,5,0.9335681188323932
5.0,0,1,-1,25.0,0.7315458701307056,10,0.9363470854020101
5.0,0,1,-1,25.0,0.7319536426235798,50,0.9455302052784142
5.0,0,1,-1,30.0,0.7744811084336483,5,0.9391217925532584
5.0,0,1,-1,30.0,0.7745477757526463,10,0.9414895335059954
5.0,0,1,-1,30.0,0.774969562448978,50,0.9505189866474378
5.0,0,1,-1,35.0,0.8154044695122714,5,0.9448320016219267
5.0,0,1,-1,35.0,0.8153204611207583,10,0.9465370647417849
5.0,0,1,-1,35.0,0.8157388592021443,50,0.9554268793366034
5.0,0,1,-1,40.0,0.8550924076047466,5,0.9503751264955504
5.0,0,1,-1,40.0,0.8547543390341378,10,0.9511806539706082
5.0,0,1,-1,40.0,0.8552465635153608,50,0.9602602537145997
5.0,0,1,-1,45.0,0.8943050295322312,5,0.9557779829905317
5.0,0,1,-1,45.0,0.8938756175903757,10,0.955968503354484
5.0,0,1,-1,45.0,0.8940463215116272,50,0.964781573247661
5.0,0,1,-1,50.0,0.9331885336984336,5,0.9609403090250979
5.0,0,1,-1,50.0,0.9325577650306395,10,0.9606577345203678
5.0,0,1,-1,50.0,0.9328366077688811,50,0.9692350734971541
5.0,0,1,-1,60.0,1.013051063820503,5,0.9714901352325063
5.0,0,1,-1,60.0,1.0125606275774137,10,0.9694885794503524
5.0,0,1,-1,60.0,1.0128068644796646,50,0.9772324048843795
5.0,0,1,-1,70.0,1.101129501497752,5,0.9803876248889491
5.0,0,1,-1,70.0,1.100537896771994,10,0.9782224786634949
5.0,0,1,-1,70.0,1.1003985832359722,50,0.9844108038943187
5.0,0,1,-1,75.0,1.1511059458063764,5,0.9843860181858263
5.0,0,1,-1,75.0,1.1503030202429603,10,0.9827816476920352
5.0,0,1,-1,75.0,1.1502440852964426,50,0.988005207134955
5.0,0,1,-1,80.0,1.206921399374952,5,0.9885712517631206
5.0,0,1,-1,80.0,1.2066919543639583,10,0.9867444108596815
5.0,0,1,-1,80.0,1.2060896394452156,50,0.9909752053064065
5.0,0,1,-1,82.13,1.2335012122956428,5,0.9901328340668194
5.0,0,1,-1,82.13,1.2332926518627125,10,0.9883351372153897
5.0,0,1,-1,82.13,1.2325643647752798,50,0.9919219450100313
5.0,0,1,-1,85.0,1.2736680395401372,5,0.9916945092166956
5.0,0,1,-1,85.0,1.2731190990242405,10,0.9903312725046245
5.0,0,1,-1,85.0,1.2720364170409337,50,0.993248735135731
5.0,0,1,-1,90.0,1.358480507109867,5,0.994229044678818
5.0,0,1,-1,90.0,1.3578479830532293,10,0.9940811726389404
5.0,0,1,-1,90.0,1.3566979138323896,50,0.9957041316023216
5.0,0,1,-1,95.0,1.4861705678188348,5,0.9960913249130586
5.0,0,1,-1,95.0,1.48614170555803,10,0.9974000385468473
5.0,0,1,-1,95.0,1.4843387328265587,50,0.9980465937320032
5.0,0,1,-1,99.0,1.7306585406230188,5,0.9991985738723079
5.0,0,1,-1,99.0,1.7298949292299768,10,0.9998521776141873
5.0,0,1,-1,99.0,1.726746074560348,50,0.9994883809765429
5.0,0,1,-1,99.73,1.8887065927270434,5,0.9997813838000134
5.0,0,1,-1,99.73,1.8866152406613375,10,0.9998010013199934
5.0,0,1,-1,99.73,1.8830797892884874,50,0.9997571044740259
10.0,0,1,-1,5.0,0.6289882707521018,10,0.9524252800098838
10.0,0,1,-1,5.0,0.6284322338439479,20,0.9615904240894795
10.0,0,1,-1,10.0,0.698537344706945,10,0.9566437158159451
10.0,0,1,-1,10.0,0.6980551544063363,20,0.9651288272914984
10.0,0,1,-1,15.0,0.7467679037230809,10,0.9603614056433271
10.0,0,1,-1,15.0,0.7465027168877177,20,0.9684224676986448
10.0,0,1,-1,20.0,0.786282151888374,10,0.963528069831054
10.0,0,1,-1,20.0,0.7862457813591599,20,0.9715466337303311
10.0,0,1,-1,25.0,0.8208651719985344,10,0.9665869579750007
10.0,0,1,-1,25.0,0.8206085653799109,20,0.9746100080421568
10.0,0,1,-1,30.0,0.8524867704872218,10,0.969676399957231
10.0,0,1,-1,30.0,0.8523174424315162,20,0.9774341226391305
10.0,0,1,-1,35.0,0.8822608494044264,10,0.9727342114158686
10.0,0,1,-1,35.0,0.8819798139165054,20,0.979945388327962
10.0,0,1,-1,40.0,0.9109191395863295,10,0.9756723337365234
10.0,0,1,-1,40.0,0.9106670397967924,20,0.9822902191859205
10.0,0,1,-1,45.0,0.9389182418276991,10,0.9785009480114532
10.0,0,1,-1,45.0,0.9384635984631174,20,0.9845441409197436
10.0,0,1,-1,50.0,0.9666227803559844,10,0.981155769213597
10.0,0,1,-1,50.0,0.9660886943925286,20,0.9866045353438786
10.0,0,1,-1,60.0,1.0235082646263964,10,0.9860619392497094
10.0,0,1,-1,60.0,1.022874838895304,20,0.9902082916174016
10.0,0,1,-1,70.0,1.0852900921220943,10,0.9901815403636395
10.0,0,1,-1,70.0,1.0849198147405181,20,0.9933733854372239
10.0,0,1,-1,75.0,1.1199956968600553,10,0.9919048640985668
10.0,0,1,-1,75.0,1.119652231925054,20,0.9948654237621566
10.0,0,1,-1,80.0,1.1587900548072507,10,0.9934823289801198
10.0,0,1,-1,80.0,1.1588832106034148,20,0.9961966764314256
10.0,0,1,-1,82.13,1.1776880333170507,10,0.9940286502322282
10.0,0,1,-1,82.13,1.1773895483945414,20,0.9967259816075822
10.0,0,1,-1,85.0,1.20499823479132,10,0.9949714481025534
10.0,0,1,-1,85.0,1.2049221089803193,20,0.9974564655715019
10.0,0,1,-1,90.0,1.2634575587838477,10,0.9964769138621813
10.0,0,1,-1,90.0,1.2639314854704395,20,0.9987219637677038
10.0,0,1,-1,95.0,1.3508862032222009,10,0.997947591343754
10.0,0,1,-1,95.0,1.3516654533192756,20,0.999726229899769
10.0,0,1,-1,99.0,1.5175098044406818,10,0.9994981945579473
10.0,0,1,-1,99.0,1.5180744712434708,20,0.9997455953094715
10.0,0,1,-1,99.73,1.6253737973406426,10,0.9997709394398747
10.0,0,1,-1,99.73,1.6251836529782697,20,0.9998328150322349
10.01,0,1,-1,5.0,0.6290836815001466,100,0.9524245536023626
10.01,0,1,-1,10.0,0.6984220763796303,100,0.9559964681966029
10.01,0,1,-1,15.0,0.7470849792088858,100,0.9594644445983332
10.01,0,1,-1,20.0,0.7866237728072532,100,0.9628377217725937
10.01,0,1,-1,25.0,0.8214312842973367,100,0.9658642040630104
10.01,0,1,-1,30.0,0.8526726122537447,100,0.9690336836997165
10.01,0,1,-1,35.0,0.8823563592352087,100,0.972028401661858
10.01,0,1,-1,40.0,0.9110131357974911,100,0.9748954398110348
10.01,0,1,-1,45.0,0.9391036913790851,100,0.9775623638325983
10.01,0,1,-1,50.0,0.9669096009562133,100,0.980138631805629
10.01,0,1,-1,60.0,1.0234537381744375,100,0.9848203512258346
10.01,0,1,-1,70.0,1.0853323471867267,100,0.9889862457558214
10.01,0,1,-1,75.0,1.1200526006639575,100,0.9907910557080883
10.01,0,1,-1,80.0,1.158990018387404,100,0.9924494882713258
10.01,0,1,-1,82.13,1.1774275678187986,100,0.9932141865130053
10.01,0,1,-1,85.0,1.2048847185027562,100,0.9940645192220188
10.01,0,1,-1,90.0,1.2637750081372452,100,0.9956831635329102
10.01,0,1,-1,95.0,1.3523542333735965,100,0.9973894438337471
10.01,0,1,-1,99.0,1.5198991249607352,100,0.9993553942393081
10.01,0,1,-1,99.73,1.6270535095253797,100,0.9997580599974935
20.0,0,1,-1,5.0,0.7373852906219649,20,0.9780111437311613
20.0,0,1,-1,10.0,0.7893353702714316,20,0.97984677115138
20.0,0,1,-1,15.0,0.825063407315241,20,0.9816088139118703
20.0,0,1,-1,20.0,0.8540389883417878,20,0.9832883807093451
20.0,0,1,-1,25.0,0.8791153419840606,20,0.9848204296992579
20.0,0,1,-1,30.0,0.9018517904759122,20,0.9863287059449565
20.0,0,1,-1,35.0,0.9232830700462943,20,0.9877511072659338
20.0,0,1,-1,40.0,0.9437251512187459,20,0.9889249129019945
20.0,0,1,-1,45.0,0.9636393165576903,20,0.9900741836629056
20.0,0,1,-1,50.0,0.9833658684320474,20,0.9911992392141741
20.0,0,1,-1,60.0,1.0238311986310848,20,0.9933700935190982
20.0,0,1,-1,70.0,1.0676056345458507,20,0.9954518445278765
20.0,0,1,-1,75.0,1.0919295715562165,20,0.9964351186363594
20.0,0,1,-1,80.0,1.1190769000966885,20,0.997301552476569
20.0,0,1,-1,82.13,1.1318490536909618,20,0.997646207594204
20.0,0,1,-1,85.0,1.1508725535224404,20,0.9980651510834049
20.0,0,1,-1,90.0,1.1917737353134386,20,0.998726584294357
20.0,0,1,-1,95.0,1.2526087528204812,20,0.9993193696171163
20.0,0,1,-1,99.0,1.3688372547176006,20,0.9997648617998974
20.0,0,1,-1,99.73,1.4413588758969973,20,0.9999127843257607
25.0,0,1,-1,5.0,0.7652081738385101,50,0.9835748826562453
25.0,0,1,-1,10.0,0.8123686781835799,50,0.9850861422018224
25.0,0,1,-1,15.0,0.8446555378555486,50,0.9864842377442786
25.0,0,1,-1,20.0,0.8705690556071692,50,0.9878164580761787
25.0,0,1,-1,25.0,0.8932691338867522,50,0.9890195399506829
25.0,0,1,-1,30.0,0.9137268411634489,50,0.9901579711536657
25.0,0,1,-1,35.0,0.9329092699124365,50,0.9912514129666633
25.0,0,1,-1,40.0,0.9511315930962049,50,0.9923416340927063
25.0,0,1,-1,45.0,0.9690187913842021,50,0.9933859568974439
25.0,0,1,-1,50.0,0.9866654608228757,50,0.994322776015607
25.0,0,1,-1,60.0,1.0226957716019016,50,0.9959724015306781
25.0,0,1,-1,70.0,1.061631345945933,50,0.9975441276865551
25.0,0,1,-1,75.0,1.0833382424180038,50,0.9981499904798999
25.0,0,1,-1,80.0,1.1077136644469534,50,0.9987618498621977
25.0,0,1,-1,82.13,1.119080034793369,50,0.998952441215647
25.0,0,1,-1,85.0,1.1360579947235647,50,0.9992071272670895
25.0,0,1,-1,90.0,1.1722270325556798,50,0.9995888200762872
25.0,0,1,-1,95.0,1.226350232552326,50,0.9998902333040827
25.0,0,1,-1,99.0,1.3284999965948967,50,1.0000177597019173
25.0,0,1,-1,99.73,1.3923160747284649,50,0.9999957321565549
50.0,0,1,-1,5.0,0.8343101867677417,50,0.9932044081042509
50.0,0,1,-1,5.0,0.8344441208659268,100,0.9902989764498559
50.0,0,1,-1,10.0,0.8684130061574369,50,0.9938543458806661
50.0,0,1,-1,10.0,0.8683795428453405,100,0.9910109781039459
50.0,0,1,-1,15.0,0.8918471511900293,50,0.9944689786932643
50.0,0,1,-1,15.0,0.8919744517255911,100,0.9916629040236025
50.0,0,1,-1,20.0,0.9106891704678693,50,0.9950840392046449
50.0,0,1,-1,20.0,0.9107448233462936,100,0.9924026720574414
50.0,0,1,-1,25.0,0.9269371425831814,50,0.9956352654837882
50.0,0,1,-1,25.0,0.9269966954058152,100,0.9930494007449582
50.0,0,1,-1,30.0,0.9415316120571948,50,0.9961458635058993
50.0,0,1,-1,30.0,0.9415597721590352,100,0.9936379228608526
50.0,0,1,-1,35.0,0.9551957952983898,50,0.9966004169621403
