n,epsilon,m_est,var_mu_n,var_mu_n_fm,RE,var_X,modulation,M-estimator
10,0.3,hampel,0.29632422542796016,0.5482481369969407,1.8501630644782574,1.8915657871833254,1.5665552180937243,"Hampel
(Cutoff: π/4,π/2,3π/4)"
20,0.3,hampel,0.00062007193054051,0.440699829854722,710.7237211504942,1.8915657871833254,0.006556176208535055,"Hampel
(Cutoff: π/4,π/2,3π/4)"
50,0.3,hampel,0.00023940076515109238,0.40858121371752726,1706.682990171984,1.8915657871833254,0.006328110996011853,"Hampel
(Cutoff: π/4,π/2,3π/4)"
100,0.3,hampel,0.00013321719135101946,0.4032217281750024,3026.7995000175083,1.8915657871833254,0.007042694060849411,"Hampel
(Cutoff: π/4,π/2,3π/4)"
500,0.3,hampel,2.324381769514882e-05,0.39417729222539655,16958.371356856092,1.8915657871833254,0.006144068013029698,"Hampel
(Cutoff: π/4,π/2,3π/4)"
1000,0.3,hampel,1.3472568166364069e-05,0.3992609235114886,29635.101383884095,1.8915657871833254,0.00712244229497599,"Hampel
(Cutoff: π/4,π/2,3π/4)"
5000,0.3,hampel,2.3907201840903134e-06,0.39565943573933515,165498.0111735186,1.8915657871833254,0.006319421191398963,"Hampel
(Cutoff: π/4,π/2,3π/4)"
10000,0.3,hampel,1.2731089155894642e-06,0.39492299593612257,310203.6213086047,1.8915657871833254,0.006730450107607481,"Hampel
(Cutoff: π/4,π/2,3π/4)"
10,0.3,cauchy,0.2161671737931997,0.5482481369969407,2.5362229027494823,1.8915657871833254,1.1427949017574897,"Cauchy
(Cutoff: π/2)"
20,0.3,cauchy,0.052176871743823246,0.440699829854722,8.446267764354664,1.8915657871833254,0.5516791654549672,"Cauchy
(Cutoff: π/2)"
50,0.3,cauchy,0.03323579198310812,0.40858121371752726,12.293409885498923,1.8915657871833254,0.878525933602303,"Cauchy
(Cutoff: π/2)"
100,0.3,cauchy,0.02730186096193253,0.4032217281750024,14.769019911764316,1.8915657871833254,1.4433471543480878,"Cauchy
(Cutoff: π/2)"
500,0.3,cauchy,0.021319588969127407,0.39417729222539655,18.488972409186644,1.8915657871833254,5.635434176697015,"Cauchy
(Cutoff: π/2)"
1000,0.3,cauchy,0.02124560578072626,0.3992609235114886,18.792635410457112,1.8915657871833254,11.23175621206517,"Cauchy
(Cutoff: π/2)"
5000,0.3,cauchy,0.019783456442551434,0.39565943573933515,19.999510039526122,1.8915657871833254,52.29386304351168,"Cauchy
(Cutoff: π/2)"
10000,0.3,cauchy,0.01930603055924165,0.39492299593612257,20.455939646644552,1.8915657871833254,102.06375421914186,"Cauchy
(Cutoff: π/2)"
