m_est,n,var_mu_n,var_mu_n_fm,RE,var_X,modulation,M-estimator
hampel,10,0.0013105157530272633,0.20511420635039895,156.5141097133625,1.0915837529540926,0.012005636301206274,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,10,0.03628933118277843,0.20511420635039895,5.6521903177906605,1.0915837529540926,0.3324466041618028,"Cauchy
(Cutoff: π/2)"
huber_45,10,0.04442054786937784,0.20511420635039895,4.617552375840875,1.0915837529540926,0.40693668945845857,"Huber
(Cutoff: π/4)"
frechet,10,0.20511420635039895,0.20511420635039895,1.0,1.0915837529540926,1.879051477225726,"$L^2 loss$
(Fréchet mean)"
hampel,20,0.0005779215906223462,0.13313403258051945,230.3669472482443,1.0915837529540926,0.010588680695518764,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,20,0.00958033661117845,0.13313403258051945,13.896592362441325,1.0915837529540926,0.17553094914158837,"Cauchy
(Cutoff: π/2)"
huber_45,20,0.012993671062179427,0.13313403258051945,10.246067638885489,1.0915837529540926,0.2380700707025984,"Huber
(Cutoff: π/4)"
frechet,20,0.13313403258051945,0.13313403258051945,1.0,1.0915837529540926,2.439282047213074,"$L^2 loss$
(Fréchet mean)"
hampel,50,0.00023603107788849995,0.10724787525456045,454.3803138721583,1.0915837529540926,0.010811404862418578,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,50,0.003753530296426497,0.10724787525456045,28.572534863156555,1.0915837529540926,0.17193047653322643,"Cauchy
(Cutoff: π/2)"
huber_45,50,0.005308942011156449,0.10724787525456045,20.20136498556303,1.0915837529540926,0.24317611895510324,"Huber
(Cutoff: π/4)"
frechet,50,0.10724787525456045,0.10724787525456045,1.0,1.0915837529540926,4.912489534784732,"$L^2 loss$
(Fréchet mean)"
hampel,100,0.00012110328149187118,0.09202441682846785,759.8837595052684,1.0915837529540926,0.011094272992258824,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,100,0.0015891130447403406,0.09202441682846785,57.90929546079243,1.0915837529540926,0.14557866406858952,"Cauchy
(Cutoff: π/2)"
huber_45,100,0.002343313855909922,0.09202441682846785,39.271059058682624,1.0915837529540926,0.2146710089416723,"Huber
(Cutoff: π/4)"
frechet,100,0.09202441682846785,0.09202441682846785,1.0,1.0915837529540926,8.4303578703354,"$L^2 loss$
(Fréchet mean)"
hampel,500,2.260157926782747e-05,0.08921473871046805,3947.278977866029,1.0915837529540926,0.01035265466651646,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,500,0.00027430490383010224,0.08921473871046805,325.23931386121143,1.0915837529540926,0.1256453767691971,"Cauchy
(Cutoff: π/2)"
huber_45,500,0.0004090731921468043,0.08921473871046805,218.0899174601779,1.0915837529540926,0.18737599888224435,"Huber
(Cutoff: π/4)"
frechet,500,0.08921473871046805,0.08921473871046805,1.0,1.0915837529540926,40.86481613024706,"$L^2 loss$
(Fréchet mean)"
hampel,1000,1.1591544922597584e-05,0.08649584622012672,7461.977397982909,1.0915837529540926,0.01061901561948685,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,1000,0.0001470020745642913,0.08649584622012672,588.3988132582292,1.0915837529540926,0.13466861719631473,"Cauchy
(Cutoff: π/2)"
huber_45,1000,0.00022268120977018957,0.08649584622012672,388.42902959523065,1.0915837529540926,0.20399828154968389,"Huber
(Cutoff: π/4)"
frechet,1000,0.08649584622012672,0.08649584622012672,1.0,1.0915837529540926,79.23885454143836,"$L^2 loss$
(Fréchet mean)"
hampel,5000,2.4885282766773634e-06,0.07902099645763613,31754.10832106095,1.0915837529540926,0.011398705183834028,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,5000,2.8780614197621493e-05,0.07902099645763613,2745.6327344176916,1.0915837529540926,0.13182961966836768,"Cauchy
(Cutoff: π/2)"
huber_45,5000,4.289704556537371e-05,0.07902099645763613,1842.1081316010607,1.0915837529540926,0.19648994156098337,"Huber
(Cutoff: π/4)"
frechet,5000,0.07902099645763613,0.07902099645763613,1.0,1.0915837529540926,361.9557191273047,"$L^2 loss$
(Fréchet mean)"
hampel,10000,1.1220938375376546e-06,0.08037050088388566,71625.47212651333,1.0915837529540926,0.010279502919505665,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,10000,1.5874240569953956e-05,0.08037050088388566,5062.950919114033,1.0915837529540926,0.1454239358821014,"Cauchy
(Cutoff: π/2)"
huber_45,10000,2.3923538391245182e-05,0.08037050088388566,3359.4738190274243,1.0915837529540926,0.21916356236067308,"Huber
(Cutoff: π/4)"
frechet,10000,0.08037050088388566,0.08037050088388566,1.0,1.0915837529540926,736.2742498354654,"$L^2 loss$
(Fréchet mean)"
