n,M-estimator,m_est,x,y,theta
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998566409732838,0.01693214403500288,0.016932953206633582
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998957460169685,0.014439428561046989,0.014439930371286736
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999998658440925,-0.0005179882208730379,-0.0005179882440367658
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998008923595513,0.019954338802499198,0.019955663261755675
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9983664522082683,0.05713516522314273,0.05716629657357221
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996230665946367,0.02745404764207817,0.027457497611470177
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9961182479078821,-0.08802520198745208,-0.08813927646798271
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996340966019431,-0.027049453059481008,-0.027052752704689962
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9992775538901171,-0.03800487194275617,-0.03801402674564868
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9992816058341943,-0.037898182561107135,-0.03790726044750977
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999482052243326,-0.01017776343979197,-0.010177939161757285
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999741008921347,0.007197051129886107,0.007197113262930961
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999734942902487,0.007280845895224683,0.007280910223902728
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9994935872112494,0.031820891307263406,0.031826263897681034
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997106115561409,0.024056041695310466,0.02405836247744624
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999776432603067,-0.006686776470172716,-0.006686826302125327
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999886053843289,-0.004773793198818752,-0.0047738113307476595
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9988848763205308,-0.047212327395682326,-0.04722988442198149
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997493041974975,-0.02239037196251964,-0.022392243207588786
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9982139147718121,0.05974094371479223,0.05977653661723574
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9968871236724618,-0.07884201073060464,-0.0789239212068291
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9995726782343098,-0.02923116363556081,-0.029235328051540378
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9988800736999204,-0.0473138284779546,-0.047331499061064916
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999926988105441,0.0038212989419579204,0.0038213082419942626
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997384838998619,-0.02286840199063028,-0.0228703956842867
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9988608388396035,0.047718179267893214,0.0477363070938572
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997384208953762,-0.022871156193307842,-0.022873150607507827
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996569163831307,-0.026192547172240923,-0.02619554299464495
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999380736276887,0.011128742505165832,0.011128972231740208
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999844619624482,-0.017627722710944572,-0.0176286357684181
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9976984800606528,0.0678066581145478,0.06785872550991824
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999450613653653,0.03314318734426408,0.0331492581499059
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998853901173314,0.015139571655496056,0.015140150063523018
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997892967138501,-0.02052710833076424,-0.020528550162011237
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9986268589021877,0.05238698959808114,0.05241098101884326
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9985177397941631,-0.05442722954878602,-0.05445413727532087
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997632293871836,0.021759714274541653,0.02176143179083354
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996458419935619,0.026611850461455658,0.02661499250654135
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997391947193808,-0.02283730592350893,-0.02283929149397604
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9991374222072432,-0.04152603454537933,-0.041537978478249464
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999967489432735,-0.008063502811633826,-0.00806359019578704
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9993437863774729,0.03622149401579155,0.03622941910865259
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999887822628083,-0.00473659672620048,-0.004736614437579037
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9990599002745388,-0.04335107453603483,-0.04336466442426879
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999990582428402,0.0013724115389766574,0.0013724119698029509
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9992011029964313,0.039964431319794956,0.039975077210004116
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9991242187130851,0.04184250925754315,0.04185472850040575
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.998910731573705,-0.04666208682523243,-0.046679036723285765
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9956294837577803,0.09339127942273492,0.09352757375769775
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997133213271645,0.02394316522537698,0.023945453486054105
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9991409024156095,-0.04144221422803127,-0.041454085943094486
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999934563466468,-0.0036176323592709424,-0.003617640250135636
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9995253421434669,0.03080731103140326,0.030812186267783415
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999227809799742,0.012427070341580686,0.012427390220192182
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9973375078577662,0.07292390156910471,0.07298869034583717
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9988071560739148,0.04882893584277601,0.04884836021103362
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9964933304208545,-0.08367223211289018,-0.08377017312903637
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999298400194334,0.011845464900578967,0.01184574193421606
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9995569491380365,-0.029764163516909675,-0.02976855997549537
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9992037890626436,0.03989721698133501,0.039907809221718375
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9994851841924601,0.03208374323180644,0.03208925010522691
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999998227902179,0.0018826025872443264,0.0018826036992970958
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9987582919858237,-0.04981841215415296,-0.04983904237507597
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9990643014804713,-0.04324952609379113,-0.04326302065050632
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998442615266305,0.017648022333005296,0.017648938548766948
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9982158931696533,-0.059707877399146146,-0.05974341116948745
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999963662531662,-0.0085248821847545,-0.008524985443800861
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999617635233934,0.008744797949987126,0.008744909408445918
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9990924811077053,-0.04259359334511378,-0.04260648285444156
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999943531171414,-0.003360615096970115,-0.0033606214226509982
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999729626114295,0.0073535057027271505,0.0073535719766409146
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999668450519387,0.008143021360214086,0.00814311135522435
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997237437036937,0.023503962965231377,0.023506127577014087
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9982118565954387,-0.05977532394129852,-0.05981097839513301
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.995277173434544,-0.09707393079577056,-0.09722704119345
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9990177347874867,-0.04431213806710268,-0.044326652527320994
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9997497642334155,0.022369821528786277,0.02237168762538613
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9985890530993513,-0.053102759157510754,-0.05312774831924803
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996479217878315,0.02653361010624479,0.026536724513524703
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9995596102631141,0.02967466142437675,0.029679018330660088
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999734407710083,-0.02304591158035558,-0.023047952069275755
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999091735179378,0.04261108654165501,0.04262399194734518
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999126033895187,-0.013220649862785955,-0.01322103502291279
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9991909237674761,-0.0402181285081526,-0.04022897853026264
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9995447944614853,0.03016958509735852,0.03017416371846518
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998690225357572,-0.016184491755692015,-0.0161851983939437
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999528241902111,0.009713361623103458,0.009713514371219313
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999257151553442,-0.038537579961659775,-0.038547125325159574
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999817859713279,-0.006035538550397934,-0.006035575194488978
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.999830282172559,-0.018422997876048463,-0.01842404018386625
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9998002013563997,-0.0199889311295636,-0.01999026248974136
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999929511044285,0.003754695920655913,0.0037547047428339356
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9992188883027108,0.03951725267645356,0.03952754502175064
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9949875430810388,0.09999894556223073,0.10016636141178428
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9993187701959474,-0.03690522366899709,-0.036913606265994374
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999549514387516,-0.009491843505007326,-0.00949198603887354
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996913409404392,0.0248439700673573,0.024846526488464003
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999173096623619,-0.012859775953900754,-0.012860130425363853
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996860624866866,-0.025055467863617915,-0.02505809014333899
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.99997452161234,0.0071383559851917,0.007138416610409903
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9987328921655501,0.05032504452691789,0.05034631105883362
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9999254869507244,0.012207397198248822,0.012207700410749147
10,"Hampel
(Cutoff: π/4,π/2,3π/4)",hampel,0.9996479728003117,-0.026531688152610866,-0.026534801883023516
