m_est,n,var_mu_n,var_mu_n_fm,RE,var_X,modulation,M-estimator
biweight,10,0.001420500270133432,0.21245399886929087,149.5628007514102,1.0948059430352368,0.012974904631913498,"Tukey's biweight
(Cutoff: π/2)"
hampel,10,0.0014189116252779238,0.21245399886929087,149.73025457288594,1.0948059430352368,0.012960393888108948,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,10,0.0028154560824224678,0.21245399886929087,75.45988736805005,1.0948059430352368,0.02571648519386829,"Cauchy
(Cutoff: π/2)"
huber_90,10,0.1002085210763817,0.21245399886929087,2.1201190935384884,1.0948059430352368,0.9153085230663243,"Huber
(Cutoff: π/2)"
huber_45,10,0.023263153414913595,0.21245399886929087,9.132639719131559,1.0948059430352368,0.21248654670634046,"Huber
(Cutoff: π/4)"
frechet,10,0.21245399886929087,0.21245399886929087,1.0,1.0948059430352368,1.940563076231428,"$L^2 loss$
(Fréchet mean)"
biweight,20,0.0008068419810877497,0.21653286313035783,268.3708436172812,1.0948059430352368,0.014739451977231022,"Tukey's biweight
(Cutoff: π/2)"
hampel,20,0.0008042888811290905,0.21653286313035783,269.2227484562275,1.0948059430352368,0.014692811748889164,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,20,0.0014663391917797792,0.21653286313035783,147.66901433462988,1.0948059430352368,0.026787198244731934,"Cauchy
(Cutoff: π/2)"
huber_90,20,0.09052937760211888,0.21653286313035783,2.391851892344058,1.0948059430352368,1.6537977013740992,"Huber
(Cutoff: π/2)"
huber_45,20,0.01488955910529799,0.21653286313035783,14.542597373035129,1.0948059430352368,0.2720036221947831,"Huber
(Cutoff: π/4)"
frechet,20,0.21653286313035783,0.21653286313035783,1.0,1.0948059430352368,3.955639161585893,"$L^2 loss$
(Fréchet mean)"
biweight,50,0.0002365041657957649,0.12639336926368222,534.4234374832545,1.0948059430352368,0.010801191174578458,"Tukey's biweight
(Cutoff: π/2)"
hampel,50,0.00023713701921541594,0.12639336926368222,532.9972084572174,1.0948059430352368,0.010830093713136866,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,50,0.0003479823313070841,0.12639336926368222,363.21777829617395,1.0948059430352368,0.015892420639512555,"Cauchy
(Cutoff: π/2)"
huber_90,50,0.02511090683875334,0.12639336926368222,5.033405208155245,1.0948059430352368,1.1468199911819958,"Huber
(Cutoff: π/2)"
huber_45,50,0.0030692930382519045,0.12639336926368222,41.17996153787542,1.0948059430352368,0.1401752090303148,"Huber
(Cutoff: π/4)"
frechet,50,0.12639336926368222,0.12639336926368222,1.0,1.0948059430352368,5.77240971643201,"$L^2 loss$
(Fréchet mean)"
biweight,100,0.00012393135208713923,0.12484237012122326,1007.3509892270316,1.0948059430352368,0.011319937827844842,"Tukey's biweight
(Cutoff: π/2)"
hampel,100,0.00012463744241916915,0.12484237012122326,1001.6441905263501,1.0948059430352368,0.011384432392979588,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,100,0.00022372723603385772,0.12484237012122326,558.0114979936116,1.0948059430352368,0.020435332622838802,"Cauchy
(Cutoff: π/2)"
huber_90,100,0.021165978669272514,0.12484237012122326,5.898256445966369,1.0948059430352368,1.9333087113677896,"Huber
(Cutoff: π/2)"
huber_45,100,0.0023994093649519856,0.12484237012122326,52.03045880573258,1.0948059430352368,0.2191629831949825,"Huber
(Cutoff: π/4)"
frechet,100,0.12484237012122326,0.12484237012122326,1.0,1.0948059430352368,11.403150568867998,"$L^2 loss$
(Fréchet mean)"
biweight,500,1.8371726560244427e-05,0.12269589466089695,6678.517354291852,1.0948059430352368,0.008390403192967105,"Tukey's biweight
(Cutoff: π/2)"
hampel,500,1.840091871863421e-05,0.12269589466089695,6667.922212853725,1.0948059430352368,0.008403735308386963,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,500,3.861148128247183e-05,0.12269589466089695,3177.704936085845,1.0948059430352368,0.017633938474715193,"Cauchy
(Cutoff: π/2)"
huber_90,500,0.004680726355120779,0.12269589466089695,26.213003143553983,1.0948059430352368,2.1376968150830216,"Huber
(Cutoff: π/2)"
huber_45,500,0.0004009707025222712,0.12269589466089695,305.9971561240987,1.0948059430352368,0.1831240984181275,"Huber
(Cutoff: π/4)"
frechet,500,0.12269589466089695,0.12269589466089695,1.0,1.0948059430352368,56.03545333373658,"$L^2 loss$
(Fréchet mean)"
biweight,1000,1.1982662785160993e-05,0.10965258914727154,9150.936741962092,1.0948059430352368,0.01094501072211966,"Tukey's biweight
(Cutoff: π/2)"
hampel,1000,1.1956471624135262e-05,0.10965258914727154,9170.982259174812,1.0948059430352368,0.010921087613926515,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,1000,1.8841082111664193e-05,0.10965258914727154,5819.866847211896,1.0948059430352368,0.017209517569323048,"Cauchy
(Cutoff: π/2)"
huber_90,1000,0.0018003015749056145,0.10965258914727154,60.907900473852756,1.0948059430352368,1.6444024499122314,"Huber
(Cutoff: π/2)"
huber_45,1000,0.0001815044875771045,0.10965258914727154,604.1315595609738,1.0948059430352368,0.1657869038177688,"Huber
(Cutoff: π/4)"
frechet,1000,0.10965258914727154,0.10965258914727154,1.0,1.0948059430352368,100.15710075821384,"$L^2 loss$
(Fréchet mean)"
biweight,5000,2.22456881534605e-06,0.11269010696176965,50657.05595816318,1.0948059430352368,0.010159648974770187,"Tukey's biweight
(Cutoff: π/2)"
hampel,5000,2.2277758761330035e-06,0.11269010696176965,50584.13109193835,1.0948059430352368,0.010174295683656614,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,5000,4.472457123922868e-06,0.11269010696176965,25196.46445775812,1.0948059430352368,0.020425798527926517,"Cauchy
(Cutoff: π/2)"
huber_90,5000,0.0005911306343934672,0.11269010696176965,190.6348620849196,1.0948059430352368,2.699705085426456,"Huber
(Cutoff: π/2)"
huber_45,5000,5.000297761337865e-05,0.11269010696176965,2253.6679281999122,1.0948059430352368,0.22836456968232444,"Huber
(Cutoff: π/4)"
frechet,5000,0.11269010696176965,0.11269010696176965,1.0,1.0948059430352368,514.6579066302286,"$L^2 loss$
(Fréchet mean)"
biweight,10000,1.3039753161000299e-06,0.1117395602673177,85691.468916384,1.0948059430352368,0.01191056117657612,"Tukey's biweight
(Cutoff: π/2)"
hampel,10000,1.3071547637750835e-06,0.1117395602673177,85483.03794159162,1.0948059430352368,0.011939602375112539,"Hampel
(Cutoff: π/4,π/2,3π/4)"
cauchy,10000,2.2570577062923666e-06,0.1117395602673177,49506.73611746973,1.0948059430352368,0.020616052741136082,"Cauchy
(Cutoff: π/2)"
huber_90,10000,0.00023234490126205966,0.1117395602673177,480.9210775031714,1.0948059430352368,2.1222473511415854,"Huber
(Cutoff: π/2)"
huber_45,10000,2.1811123658206855e-05,0.1117395602673177,5123.053815032292,1.0948059430352368,0.19922365051963237,"Huber
(Cutoff: π/4)"
frechet,10000,0.1117395602673177,0.1117395602673177,1.0,1.0948059430352368,1020.6334828392625,"$L^2 loss$
(Fréchet mean)"
